nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop
90,42,45,20.660119142559562,84.7081312873962,5.680430554864053,233.72762561027838,rice
99,44,50,22.08073370392838,83.78409884731781,6.364456537479719,218.5796054713085,rice
86,53,59,20.763243595702914,83.69172724378166,6.490340145154949,232.3691262322707,rice
82,40,43,23.628253820092848,79.03308000727662,5.687119164510763,228.88438792418955,rice
82,56,45,20.964686230590246,84.2623426841623,5.5128030346941435,222.34482164185675,rice
91,56,57,20.534385883655347,86.1141095453251,6.8335233317798085,215.6601731133438,rice
86,46,43,26.281492538866708,77.78912380712514,5.964545630409262,209.63340982146278,rice
89,54,46,25.200992096212133,76.26060687670049,5.876513442546065,230.4718705413752,rice
87,46,52,21.664487753881517,83.97792097447152,5.525675454581978,182.40877748005838,rice
92,57,46,20.574873237442617,88.3428847847999,5.63241491591126,202.47867266435154,rice
98,42,42,29.540415617801866,82.18613722478244,5.540312909138856,183.3838816944594,rice
98,57,51,26.052174454083982,87.78425001544394,5.840108027564924,243.2955074823566,rice
88,48,53,20.900235805262035,80.15225853972748,6.527986600624329,235.57923500533633,rice
83,41,51,21.91693203765282,83.55262003916629,6.266957002832646,239.72303297089573,rice
100,42,54,27.988072635885885,80.96224577916746,5.842762911264732,208.9895453661984,rice
89,57,48,25.31397570923358,83.31169506222862,6.189389981515331,241.08941353604604,rice
99,43,60,24.219558433663174,87.2348466574623,5.634605607490374,188.02843218849878,rice
83,48,47,24.228803254147557,79.06249582581638,6.661978617886531,214.66157153180927,rice
100,49,58,29.693387071830067,84.0951519219731,6.314904264111328,249.21106737862226,rice
89,45,59,29.508945618148456,81.02431379293822,6.456229116416591,212.49083352565214,rice
89,45,52,25.830800356447057,77.74376097000105,6.67706937946048,237.36628994384927,rice
93,48,42,20.83325456516632,76.95585573679874,6.022858432339523,190.91205831853506,rice
99,58,47,24.463060964457895,80.10788005404258,5.533205879021734,224.12449278723165,rice
81,51,53,29.510139312290327,83.38913880615958,6.715567409636725,195.78646082926562,rice
97,53,49,22.02094416106368,87.56918848494222,6.529309019796864,182.2528489064541,rice
82,57,50,25.625516601882616,78.23909899192091,6.889980493881348,191.4554015651584,rice
95,41,59,20.89918523708304,84.23605617565714,6.00745664372063,184.84948934041657,rice
84,58,48,28.95905143502261,78.06817475921628,5.6972961983415304,249.85100365115156,rice
83,52,51,26.23653913239985,80.77274169238831,5.580751312870032,187.9427420113818,rice
96,47,42,20.678532259569604,85.79376511134973,6.863917876835631,219.4115594740014,rice
85,49,54,24.04052765423304,77.00242075334067,6.183959512575849,231.00945595685036,rice
88,51,57,29.388825187313365,85.26436974402682,6.864723276533317,242.25541630838188,rice
86,60,55,29.46397117678621,85.15320643113033,6.224718266298175,212.6091179763197,rice
88,45,60,27.685055520154407,85.71160795947922,6.734641702752978,199.4917343177737,rice
87,52,51,28.278290987842578,76.95728534919172,5.564812420075296,243.84315818627593,rice
81,47,44,24.861862504786455,77.31011925119664,6.88543951489835,194.64321583408662,rice
82,60,58,26.805823330078184,79.91521061176961,6.315811333928485,240.9925364204285,rice
83,55,44,22.057369222648557,78.62332982748262,6.46467486252701,199.96248350747345,rice
97,54,54,20.43851366334335,83.92403175957685,5.703500736006789,243.49066430693514,rice
96,41,41,29.420306497454625,76.32803461153014,6.008214619096458,224.19326051728822,rice
88,55,44,21.51148270054608,87.31556248151807,6.443245868412612,209.12078108855275,rice
96,55,52,26.55818699142988,89.52667198513632,6.259506116985079,181.70980995722735,rice
98,41,41,21.123286074017464,75.62451581799664,5.822644059080586,202.67629743652583,rice
87,44,60,24.134424488208438,78.68763107953531,6.348916227667122,221.869745876698,rice
80,45,55,27.641645939571056,88.32094147544012,6.490636102091663,219.78799886121283,rice
85,50,43,24.22967673751141,83.16747948056347,6.703741010091017,208.34875702422468,rice
98,54,49,20.360630019155085,80.32704856739667,6.3695020323399545,209.50886334659623,rice
96,49,47,26.372610316599832,80.85457970669603,5.802246301013014,206.36241342691295,rice
84,58,54,29.436071898220856,76.10596969458628,6.246655008244263,181.24016766123214,rice
100,51,46,21.710313220717154,79.24778601561789,6.755998699823244,180.10066749432153,rice
96,47,59,26.80154084740755,80.66769649826871,6.169866434617624,222.4518441233872,rice
91,42,50,24.8360028440347,79.75988289613082,6.94541530945662,226.72883685620053,rice
87,41,48,28.40813594103252,77.70191917590954,6.198523461639227,240.4915227340758,rice
97,46,42,20.48828722110493,80.40146577848812,5.935416091154891,184.75219098869488,rice
